prefix;runID;tick;strategistID;p1;p2;p3;actionExecuted;actualProfit;predictedProfit;level;planningHorizon
null;1;70.0;1;0.07;0.4;0.53;BT2;0.0;0.0;2;50.0;
null;1;71.0;0;0.25;0.31;0.44;RT2;0.0;0.0;2;50.0;
null;1;76.0;1;0.07;0.4;0.53;BT3;0.0;0.0;2;50.0;
null;1;82.0;1;0.07;0.4;0.53;BT2;0.0;0.0;2;50.0;
null;1;88.0;1;0.07;0.4;0.53;BT2;0.0;0.0;2;50.0;
null;1;88.0;0;0.25;0.31;0.44;RT1;0.0;0.0;2;50.0;
null;1;94.0;1;0.07;0.4;0.53;BT2;0.0;0.0;2;50.0;
null;1;100.0;1;0.07;0.4;0.53;BT1;0.0;0.0;2;50.0;
null;1;106.0;1;0.07;0.4;0.53;BT2;0.0;0.0;2;50.0;
null;1;112.0;1;0.07;0.4;0.53;BT2;0.0;0.0;2;50.0;
null;1;118.0;1;0.07;0.4;0.53;BT3;0.0;0.0;2;50.0;
null;1;122.0;0;0.25;0.31;0.44;RT3;0.0;0.0;2;50.0;
null;1;124.0;1;0.07;0.4;0.53;BT2;0.0;0.0;2;50.0;
null;1;130.0;1;0.07;0.4;0.53;BT2;0.0;0.0;2;50.0;
null;1;136.0;1;0.07;0.4;0.53;BT1;0.0;0.0;2;50.0;
null;1;142.0;1;0.07;0.4;0.53;BT1;0.0;0.0;2;50.0;
null;1;148.0;1;0.07;0.4;0.53;BT2;0.0;0.0;2;50.0;
null;1;154.0;1;0.07;0.4;0.53;BT2;0.0;0.0;2;50.0;
null;1;156.0;0;0.25;0.31;0.44;RT3;0.0;0.0;2;50.0;
null;1;160.0;1;0.07;0.4;0.53;BT1;0.0;0.0;2;50.0;
null;1;166.0;1;0.07;0.4;0.53;BT2;0.0;0.0;2;50.0;
null;1;172.0;1;0.07;0.4;0.53;BT2;0.0;0.0;2;50.0;
null;1;173.0;0;0.25;0.31;0.44;RT1;0.0;0.0;2;50.0;
null;1;178.0;1;0.07;0.4;0.53;BT1;0.0;0.0;2;50.0;
null;1;184.0;1;0.07;0.4;0.53;BT1;0.0;0.0;2;50.0;
null;1;190.0;1;0.07;0.4;0.53;BT2;0.0;0.0;2;50.0;
